,mal_id,url,title,title_japanese,title_romanji,aired,score,filler,recap,forum_url,poll_votes
75,76,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/76,Piccolo's Return,神様も生き返った！超神龍でピッコロが復活,Kamisama mo Ikikaetta! Super Shen Long de Pikkolo ga Fukkatsu ,1991-02-06T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356377,48
76,77,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/77,The Fusion,最強戦士の誕生か！？ネイルとピッコロが合体,Saikyou Senshi no Tanjou ka!? Nail to Pikkolo ga Gattai ,1991-02-13T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356385,44
77,78,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/78,Fighting Power: One Million?,悪夢の超変身！！戦闘力１００万のフリーザ,Akumu no Chouhenshin!! Sentouryoku Hyakuman no Freeza ,1991-02-20T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356395,46
78,79,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/79,Gohan Attacks,ここまでか！？凶悪超絶パワーが悟飯を襲う,Koko made ka!? Kyouaku Chouzetsu Power ga Gohan wo Osou ,1991-02-27T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=122135,44
79,80,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/80,Piccolo the Super-Namek,一気に形勢逆転！！遅れてきた戦士・ピッコロ,Ikki ni Keisei Gyakuten!! Okurete Kita Senshi: Pikkolo ,1991-03-06T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=122136,53
80,81,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/81,Deja Vu,ピッコロの自信！フリーザを倒すのはオレだ,Pikkolo no Jishin! Freeza wo Taosu no wa Ore da ,1991-03-13T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=122138,47
81,82,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/82,Frieza's Second Transformation,出撃だ悟空！！激怒のフリーザが第２の変身,Shutsugeki da Gokuu!! Gekido no Freeza ga Daini no Henshin ,1991-03-20T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356421,44
82,83,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/83,Another Transformation?,恐怖しろ！！フリーザは３度の変身で勝負する,Kyoufu Shiro!! Freeza wa Sando no Henshin de Shoubu Suru ,1991-03-27T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356521,49
83,84,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/84,Dende's Demise,デンデの死…でてこい！とびきり全開パワー,Dende no Shi... Dete Koi! Tobikiri Zenkai Power ,1991-04-03T00:00:00+00:00,4.3,False,False,https://myanimelist.net/forum/?topicid=356553,41
84,85,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/85,The Renewed Goku,待ちに待ったぜ、この瞬間！！！孫悟空が復活だ,"Machi ni Matta ze, Kono Shunkan!!! Son Gokuu ga Fukkatsu da ",1991-04-10T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356557,48
